time-lower time-upper    Fhat   SE_Fhat   Lower      Upper
0                33   0.00000   0.00000   0.00000    0.0000
33                46  0.08333   0.07979   0.01605    0.3363
46                50  0.16667   0.10758   0.05297    0.4169
50                59  0.25000   0.12500   0.10018    0.4995
59                62  0.33333   0.13608   0.15441    0.5779
62                71  0.41667   0.14232   0.21423    0.6517
71                74  0.50000   0.14434   0.27895    0.7210
74                75  0.58333   0.14232   0.34827    0.7858
75                78  0.66667   0.13608   0.42211    0.8456
78                80  0.83333   0.10758   0.58306    0.9470
